WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
------------------------- test un normalized Main, avg_test_AL_un_norm=0.048963131544341496, avg_test_CL_un_norm=0.04896444315789967, max_test_CL_un_norm=0.06776667386293411
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4577844514174982, max_test_CL=0.5164095759391785
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4577844514174982, max_test_CL_un_norm=0.5164095759391785
train epoch=15, loader_type='Both', approx_losses.avg=0.027340535635749497, constraint_losses.avg=0.09530699351628621
------------------------- test Main, avg_test_AL=0.05066631343476735, avg_test_CL=0.05066757307978006, max_test_CL=0.0769617110490799
------------------------- test un normalized Main, avg_test_AL_un_norm=0.05066631343476735, avg_test_CL_un_norm=0.05066757307978006, max_test_CL_un_norm=0.0769617110490799
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.47090109927697227, max_test_CL=0.5346485376358032
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.47090109927697227, max_test_CL_un_norm=0.5346485376358032
train epoch=16, loader_type='Both', approx_losses.avg=0.03013872790733973, constraint_losses.avg=0.09748531784216563
------------------------- test Main, avg_test_AL=0.04920298845373892, avg_test_CL=0.04920430063597254, max_test_CL=0.0680404007434845
------------------------- test un normalized Main, avg_test_AL_un_norm=0.04920298845373892, avg_test_CL_un_norm=0.04920430063597254, max_test_CL_un_norm=0.0680404007434845
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.46643925955644, max_test_CL=0.5285173654556274
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.46643925955644, max_test_CL_un_norm=0.5285173654556274
train epoch=17, loader_type='Both', approx_losses.avg=0.020399422477682432, constraint_losses.avg=0.08799776980876922
------------------------- test Main, avg_test_AL=0.03599900898483542, avg_test_CL=0.036000216457604976, max_test_CL=0.05330631881952286
------------------------- test un normalized Main, avg_test_AL_un_norm=0.03599900898483542, avg_test_CL_un_norm=0.036000216457604976, max_test_CL_un_norm=0.05330631881952286
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4517938320015047, max_test_CL=0.5116500854492188
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4517938320015047, max_test_CL_un_norm=0.5116500854492188
train epoch=18, loader_type='Both', approx_losses.avg=0.015617948603630066, constraint_losses.avg=0.0835659149924914
------------------------- test Main, avg_test_AL=0.031100411440252333, avg_test_CL=0.031102009037429386, max_test_CL=0.04790060967206955
------------------------- test un normalized Main, avg_test_AL_un_norm=0.031100411440252333, avg_test_CL_un_norm=0.031102009037429386, max_test_CL_un_norm=0.04790060967206955
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4443871752248035, max_test_CL=0.5001747012138367
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4443871752248035, max_test_CL_un_norm=0.5001747012138367
train epoch=19, loader_type='Both', approx_losses.avg=0.017018983690440654, constraint_losses.avg=0.08342347165346145
------------------------- test Main, avg_test_AL=0.025907942597792524, avg_test_CL=0.02590915091565108, max_test_CL=0.041341692209243774
------------------------- test un normalized Main, avg_test_AL_un_norm=0.025907942597792524, avg_test_CL_un_norm=0.02590915091565108, max_test_CL_un_norm=0.041341692209243774
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4363448325846646, max_test_CL=0.49096137285232544
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4363448325846646, max_test_CL_un_norm=0.49096137285232544
train epoch=20, loader_type='Both', approx_losses.avg=0.01670294143408537, constraint_losses.avg=0.08159923846125602
------------------------- test Main, avg_test_AL=0.023074910076366768, avg_test_CL=0.02307565473076012, max_test_CL=0.03629084676504135
------------------------- test un normalized Main, avg_test_AL_un_norm=0.023074910076366768, avg_test_CL_un_norm=0.02307565473076012, max_test_CL_un_norm=0.03629084676504135
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.42125938544879565, max_test_CL=0.47369855642318726
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42125938544879565, max_test_CL_un_norm=0.47369855642318726
train epoch=21, loader_type='Both', approx_losses.avg=0.015166518334050973, constraint_losses.avg=0.08104703483184178
------------------------- test Main, avg_test_AL=0.02360233269516263, avg_test_CL=0.023603374557989137, max_test_CL=0.03636957332491875
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02360233269516263, avg_test_CL_un_norm=0.023603374557989137, max_test_CL_un_norm=0.03636957332491875
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.42544406636042875, max_test_CL=0.47825509309768677
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42544406636042875, max_test_CL_un_norm=0.47825509309768677
train epoch=22, loader_type='Both', approx_losses.avg=0.013895125259707371, constraint_losses.avg=0.08045831865866979
------------------------- test Main, avg_test_AL=0.023514209708592318, avg_test_CL=0.023514678445155243, max_test_CL=0.03570015728473663
------------------------- test un normalized Main, avg_test_AL_un_norm=0.023514209708592318, avg_test_CL_un_norm=0.023514678445155243, max_test_CL_un_norm=0.03570015728473663
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.42276136869484476, max_test_CL=0.47482436895370483
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.42276136869484476, max_test_CL_un_norm=0.47482436895370483
train epoch=23, loader_type='Both', approx_losses.avg=0.014811889563500881, constraint_losses.avg=0.08189316751758258
------------------------- test Main, avg_test_AL=0.02641962217031843, avg_test_CL=0.02641926958501615, max_test_CL=0.041811540722846985
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02641962217031843, avg_test_CL_un_norm=0.02641926958501615, max_test_CL_un_norm=0.041811540722846985
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.43109005629956665, max_test_CL=0.4845304489135742
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.43109005629956665, max_test_CL_un_norm=0.4845304489135742
train epoch=24, loader_type='Both', approx_losses.avg=0.015615994252761205, constraint_losses.avg=0.08165859362681707
------------------------- test Main, avg_test_AL=0.026767834616886515, avg_test_CL=0.026769007812044374, max_test_CL=0.042051732540130615
------------------------- test un normalized Main, avg_test_AL_un_norm=0.026767834616886515, avg_test_CL_un_norm=0.026769007812044374, max_test_CL_un_norm=0.042051732540130615
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4293229630491039, max_test_CL=0.4829752445220947
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4293229630491039, max_test_CL_un_norm=0.4829752445220947
train epoch=25, loader_type='Both', approx_losses.avg=0.013159133839110533, constraint_losses.avg=0.07961283872524898
------------------------- test Main, avg_test_AL=0.024090630299242976, avg_test_CL=0.02408943332249748, max_test_CL=0.03775273263454437
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024090630299242976, avg_test_CL_un_norm=0.02408943332249748, max_test_CL_un_norm=0.03775273263454437
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4257042392924264, max_test_CL=0.4782252907752991
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4257042392924264, max_test_CL_un_norm=0.4782252907752991
train epoch=26, loader_type='Both', approx_losses.avg=0.0162257306098938, constraint_losses.avg=0.08301430670420329
------------------------- test Main, avg_test_AL=0.027026563921982463, avg_test_CL=0.027027871552481875, max_test_CL=0.04197223484516144
------------------------- test un normalized Main, avg_test_AL_un_norm=0.027026563921982463, avg_test_CL_un_norm=0.027027871552481875, max_test_CL_un_norm=0.04197223484516144
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4290202890072499, max_test_CL=0.48285219073295593
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4290202890072499, max_test_CL_un_norm=0.48285219073295593
train epoch=27, loader_type='Both', approx_losses.avg=0.01179619099398454, constraint_losses.avg=0.07952925907373429
------------------------- test Main, avg_test_AL=0.02322728086488547, avg_test_CL=0.023228038129423773, max_test_CL=0.03649802505970001
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02322728086488547, avg_test_CL_un_norm=0.023228038129423773, max_test_CL_un_norm=0.03649802505970001
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4279140555882478, max_test_CL=0.4818918704986572
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4279140555882478, max_test_CL_un_norm=0.4818918704986572
train epoch=28, loader_type='Both', approx_losses.avg=0.014139257894953091, constraint_losses.avg=0.08019073445995649
------------------------- test Main, avg_test_AL=0.02277671378252709, avg_test_CL=0.02277811496316719, max_test_CL=0.03561613708734512
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02277671378252709, avg_test_CL_un_norm=0.02277811496316719, max_test_CL_un_norm=0.03561613708734512
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.40935008943796874, max_test_CL=0.45792174339294434
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.40935008943796874, max_test_CL_un_norm=0.45792174339294434
train epoch=29, loader_type='Both', approx_losses.avg=0.013954131459693113, constraint_losses.avg=0.08040495817661285
------------------------- test Main, avg_test_AL=0.02348106694351826, avg_test_CL=0.02348135858743887, max_test_CL=0.0372379794716835
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02348106694351826, avg_test_CL_un_norm=0.02348135858743887, max_test_CL_un_norm=0.0372379794716835
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.4073369526737803, max_test_CL=0.45457953214645386
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.4073369526737803, max_test_CL_un_norm=0.45457953214645386
train epoch=30, loader_type='Both', approx_losses.avg=0.0142459626202782, constraint_losses.avg=0.08108063170115153
------------------------- test Main, avg_test_AL=0.024697917815133766, avg_test_CL=0.024698958568577026, max_test_CL=0.03885117173194885
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024697917815133766, avg_test_CL_un_norm=0.024698958568577026, max_test_CL_un_norm=0.03885117173194885
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.40223512854483034, max_test_CL=0.44831034541130066
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.40223512854483034, max_test_CL_un_norm=0.44831034541130066
train epoch=31, loader_type='Both', approx_losses.avg=0.014452954907218615, constraint_losses.avg=0.08061668015122414
------------------------- test Main, avg_test_AL=0.024515349469898088, avg_test_CL=0.02451647613738273, max_test_CL=0.03853398561477661
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024515349469898088, avg_test_CL_un_norm=0.02451647613738273, max_test_CL_un_norm=0.03853398561477661
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.40060752021657814, max_test_CL=0.4458509683609009
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.40060752021657814, max_test_CL_un_norm=0.4458509683609009
train epoch=32, loader_type='Both', approx_losses.avg=0.013041362617909908, constraint_losses.avg=0.0805848790804545
------------------------- test Main, avg_test_AL=0.02439927537478059, avg_test_CL=0.024399990558734274, max_test_CL=0.03743623197078705
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02439927537478059, avg_test_CL_un_norm=0.024399990558734274, max_test_CL_un_norm=0.03743623197078705
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.40022320296611635, max_test_CL=0.4446556270122528
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.40022320296611635, max_test_CL_un_norm=0.4446556270122528
train epoch=33, loader_type='Both', approx_losses.avg=0.01624226383169492, constraint_losses.avg=0.08262977061669032
------------------------- test Main, avg_test_AL=0.026274539496483014, avg_test_CL=0.026276052037526195, max_test_CL=0.04127553105354309
------------------------- test un normalized Main, avg_test_AL_un_norm=0.026274539496483014, avg_test_CL_un_norm=0.026276052037526195, max_test_CL_un_norm=0.04127553105354309
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.3972926172646913, max_test_CL=0.4417024850845337
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.3972926172646913, max_test_CL_un_norm=0.4417024850845337
train epoch=34, loader_type='Both', approx_losses.avg=0.01479930268029372, constraint_losses.avg=0.07958406037886938
------------------------- test Main, avg_test_AL=0.026743056047036574, avg_test_CL=0.026743684706555026, max_test_CL=0.042590878903865814
------------------------- test un normalized Main, avg_test_AL_un_norm=0.026743056047036574, avg_test_CL_un_norm=0.026743684706555026, max_test_CL_un_norm=0.042590878903865814
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.3965092392058463, max_test_CL=0.44021880626678467
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.3965092392058463, max_test_CL_un_norm=0.44021880626678467
train epoch=35, loader_type='Both', approx_losses.avg=0.013467427559693655, constraint_losses.avg=0.07837747093041737
------------------------- test Main, avg_test_AL=0.02456104190478491, avg_test_CL=0.024560554289828625, max_test_CL=0.03926181048154831
------------------------- test un normalized Main, avg_test_AL_un_norm=0.02456104190478491, avg_test_CL_un_norm=0.024560554289828625, max_test_CL_un_norm=0.03926181048154831
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.38837321990125767, max_test_CL=0.42996054887771606
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.38837321990125767, max_test_CL_un_norm=0.42996054887771606
train epoch=36, loader_type='Both', approx_losses.avg=0.013825120197733243, constraint_losses.avg=0.0792477489610513
------------------------- test Main, avg_test_AL=0.024597138174235245, avg_test_CL=0.02459816788442086, max_test_CL=0.03909754008054733
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024597138174235245, avg_test_CL_un_norm=0.02459816788442086, max_test_CL_un_norm=0.03909754008054733
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.38041144169427016, max_test_CL=0.4203410744667053
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.38041144169427016, max_test_CL_un_norm=0.4203410744667053
train epoch=37, loader_type='Both', approx_losses.avg=0.014219124633570512, constraint_losses.avg=0.078980628490448
------------------------- test Main, avg_test_AL=0.024516090051736217, avg_test_CL=0.024517382755787024, max_test_CL=0.03847726806998253
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024516090051736217, avg_test_CL_un_norm=0.024517382755787024, max_test_CL_un_norm=0.03847726806998253
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.377102573936408, max_test_CL=0.41618794202804565
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.377102573936408, max_test_CL_un_norm=0.41618794202804565
train epoch=38, loader_type='Both', approx_losses.avg=0.013692941681295633, constraint_losses.avg=0.07930561221043268
------------------------- test Main, avg_test_AL=0.024215302745428484, avg_test_CL=0.024215784798319394, max_test_CL=0.03723716363310814
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024215302745428484, avg_test_CL_un_norm=0.024215784798319394, max_test_CL_un_norm=0.03723716363310814
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.38464173207710217, max_test_CL=0.4235214591026306
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.38464173207710217, max_test_CL_un_norm=0.4235214591026306
train epoch=39, loader_type='Both', approx_losses.avg=0.01733471284757058, constraint_losses.avg=0.08231678804556529
------------------------- test Main, avg_test_AL=0.025805181066679943, avg_test_CL=0.025806526086191547, max_test_CL=0.04033069312572479
------------------------- test un normalized Main, avg_test_AL_un_norm=0.025805181066679943, avg_test_CL_un_norm=0.025806526086191547, max_test_CL_un_norm=0.04033069312572479
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.3861504543024498, max_test_CL=0.4263298213481903
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.3861504543024498, max_test_CL_un_norm=0.4263298213481903
train epoch=40, loader_type='Both', approx_losses.avg=0.015034119726717471, constraint_losses.avg=0.07868426379362742
------------------------- test Main, avg_test_AL=0.024286890879517666, avg_test_CL=0.02428822263094547, max_test_CL=0.038747288286685944
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024286890879517666, avg_test_CL_un_norm=0.02428822263094547, max_test_CL_un_norm=0.038747288286685944
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.3803900375708684, max_test_CL=0.41997286677360535
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.3803900375708684, max_test_CL_un_norm=0.41997286677360535
train epoch=41, loader_type='Both', approx_losses.avg=0.013750504946708679, constraint_losses.avg=0.07721125812927881
------------------------- test Main, avg_test_AL=0.024072599288931972, avg_test_CL=0.0240735882572509, max_test_CL=0.03834720700979233
------------------------- test un normalized Main, avg_test_AL_un_norm=0.024072599288931972, avg_test_CL_un_norm=0.0240735882572509, max_test_CL_un_norm=0.03834720700979233
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.3644283661046424, max_test_CL=0.401761531829834
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=0.3644283661046424, max_test_CL_un_norm=0.401761531829834
