WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
------------------------- test un normalized Main, avg_test_AL_un_norm=568.3254143248416, avg_test_CL_un_norm=568.4178827917782, max_test_CL_un_norm=6006.000097216712
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0002644630450607413, max_test_CL=0.0007189378375187516
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=13.930108972908398, max_test_CL_un_norm=40.33711626559278
train epoch=13, loader_type='Both', approx_losses.avg=0.005595856698571394, constraint_losses.avg=0.0037772577950110037
------------------------- test Main, avg_test_AL=0.006307829009951092, avg_test_CL=0.006308369880571263, max_test_CL=0.0308673232793808
------------------------- test un normalized Main, avg_test_AL_un_norm=431.4997961104235, avg_test_CL_un_norm=431.56569419972305, max_test_CL_un_norm=3504.4891128334893
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.001583457913637782, max_test_CL=0.004960592836141586
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=167.95990679782173, max_test_CL_un_norm=498.38200491903956
train epoch=14, loader_type='Both', approx_losses.avg=0.0046195055954934405, constraint_losses.avg=0.00299081523741285
------------------------- test Main, avg_test_AL=0.00621575828709562, avg_test_CL=0.006215447304867363, max_test_CL=0.015581401996314526
------------------------- test un normalized Main, avg_test_AL_un_norm=475.78848238702966, avg_test_CL_un_norm=475.73584959245835, max_test_CL_un_norm=1686.5687123640241
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0019209271185100078, max_test_CL=0.003596374299377203
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=202.55178209514858, max_test_CL_un_norm=391.53167188983105
train epoch=15, loader_type='Both', approx_losses.avg=0.005049545600296308, constraint_losses.avg=0.003212127051750819
------------------------- test Main, avg_test_AL=0.004705059882728771, avg_test_CL=0.00470567916421957, max_test_CL=0.03480423986911774
------------------------- test un normalized Main, avg_test_AL_un_norm=278.0029125977252, avg_test_CL_un_norm=278.08009859137206, max_test_CL_un_norm=1952.3602475493244
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0012871213970356622, max_test_CL=0.0025496166199445724
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=88.66555022838124, max_test_CL_un_norm=241.2703482835194
train epoch=16, loader_type='Both', approx_losses.avg=0.0028071280190410716, constraint_losses.avg=0.001868565178848803
------------------------- test Main, avg_test_AL=0.0022611747063929215, avg_test_CL=0.0022611378131380962, max_test_CL=0.020893748849630356
------------------------- test un normalized Main, avg_test_AL_un_norm=97.94441778022761, avg_test_CL_un_norm=97.9363181584041, max_test_CL_un_norm=2681.9409110329866
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.000859438562920938, max_test_CL=0.002133347559720278
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=99.90786122555726, max_test_CL_un_norm=176.47041669824466
train epoch=17, loader_type='Both', approx_losses.avg=0.004992032537578295, constraint_losses.avg=0.0032230644771829246
------------------------- test Main, avg_test_AL=0.0067948086830535125, avg_test_CL=0.006795730263586544, max_test_CL=0.1169961541891098
------------------------- test un normalized Main, avg_test_AL_un_norm=650.0270115484057, avg_test_CL_un_norm=650.1430223158403, max_test_CL_un_norm=3570.8390445716454
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0013122792781020203, max_test_CL=0.002656946424394846
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=148.65231634115813, max_test_CL_un_norm=380.09874255746445
train epoch=18, loader_type='Both', approx_losses.avg=0.007856555372352402, constraint_losses.avg=0.005283201280112068
------------------------- test Main, avg_test_AL=0.009083690099806214, avg_test_CL=0.009084723521179209, max_test_CL=0.05010576546192169
------------------------- test un normalized Main, avg_test_AL_un_norm=814.4266593074618, avg_test_CL_un_norm=814.5619494860914, max_test_CL_un_norm=4772.182854548215
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0043241339155162374, max_test_CL=0.006635713391005993
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=465.4250326806365, max_test_CL_un_norm=599.0228465540763
